IsolateID,SamplingPeriod,Assets,Locations,Hospitals,Date
6928391,Beginning,11/438 SHOWER,11West,X,05-Sep-2014
6928390,Beginning,11/443/2 SHOWER,11West,X,03-Sep-2014
6928389,Beginning,12/339 SHOWER,12 South,X,03-Sep-2014
6928388,Beginning,11/252/2 SHOWER,11 South,X,03-Sep-2014
6928387,Beginning,12/417 SHOWER,12 West,X,03-Sep-2014
6928386,Beginning,12/421 WHB,12 West,X,03-Sep-2014
6928385,Beginning,12/333 SHOWER,12 South,X,03-Sep-2014
6928384,Beginning,12/238/2 SHOWER,12 East,X,03-Sep-2014
6928383,Beginning,12/323 WHB,12 South,X,03-Sep-2014
6928382,Beginning,12/420 SHOWER,12 West,X,03-Sep-2014
6928381,Beginning,12/342 SHOWER,12 South,X,03-Sep-2014
6928380,Beginning,12/243/2 SHOWER,12 East,X,03-Sep-2014
6928379,Beginning,12/237/2 SHOWER,12 East,X,03-Sep-2014
6928378,Beginning,12/329 SHOWER,12 South,X,03-Sep-2014
6928377,Beginning,12/236/2 SHOWER,12 East,X,03-Sep-2014
6928376,Beginning,12/242/2 SHOWER,12 East,X,03-Sep-2014
6928375,Beginning,11/339/2 SHOWER,11 South,X,03-Sep-2014
6928374,Beginning,12/235/2 SHOWER,12 East,X,02-Sep-2014
6928373,Beginning,11/336/1 WHB,11 South,X,02-Sep-2014
6928372,Beginning,11/342/2 SHOWER,11 South,X,02-Sep-2014
6928371,Beginning,12/435 WHB,12 West,X,02-Sep-2014
6928370,Beginning,11/337/2 SHOWER,11 South,X,02-Sep-2014
6928369,Beginning,11/333/1 WHB,11 South,X,02-Sep-2014
6928368,Beginning,12/443 SHOWER,12 West,X,02-Sep-2014
6928367,Beginning,11/337 WHB,11 South,X,02-Sep-2014
6928366,Beginning,11/336/2 SHOWER,11 South,X,02-Sep-2014
6928365,Beginning,11/450/1 SHOWER,11West,X,02-Sep-2014
6928364,Beginning,12/447 WHB,12 West,X,02-Sep-2014
6928363,Beginning,12/246/2 SHOWER,12 East,X,02-Sep-2014
6928362,Beginning,12/327 SHOWER,12 South,X,02-Sep-2014
6928361,Beginning,12/245/2 SHOWER,12 East,X,02-Sep-2014
6928360,Beginning,12/336 WHB,12 South,X,02-Sep-2014
6928359,Beginning,12/424 SHOWER,12 West,X,02-Sep-2014
6928358,Beginning,11/451/3 SHOWER,11West,X,02-Sep-2014
6928357,Beginning,11/239/1 SHOWER,11 East,X,02-Sep-2014
6928356,Beginning,12/447 SHOWER,12 West,X,02-Sep-2014
6928355,Beginning,11/340/2 SHOWER,11 South,X,01-Sep-2014
6928354,Beginning,11/254/2 SHOWER,11 South,X,01-Sep-2014
6928353,Beginning,11/444 SHOWER,11West,X,01-Sep-2014
6928352,Beginning,12/444 SHOWER,12 West,X,01-Sep-2014
6928351,Beginning,11/328/2 SHOWER,11 South,X,01-Sep-2014
6928350,Beginning,12/332 SHOWER,12 South,X,01-Sep-2014
6928349,Beginning,11/251 SHOWER,11 East,X,01-Sep-2014
6928348,Beginning,11/205 WHB,11 East,X,01-Sep-2014
6929310,End,4/349 WHB,ITU 4 W/S,X,15-Dec-2014
6929308,End,11/447/1 SHOWER,11 West,X,12-Dec-2014
6929306,End,11/444 SHOWER,11 West,X,12-Dec-2014
6929295,End,11/443/2 SHOWER,11 West,X,12-Dec-2014
6929289,End,11/438 SHOWER,11 West,X,12-Dec-2014
6929304,End,11/433 WHB,11 West,X,12-Dec-2014
6929298,End,11/254/2 SHOWER,11 South,X,12-Dec-2014
6929294,End,11/254/2 WHB,11 South,X,12-Dec-2014
6929302,End,11/252/2 SHOWER,11 South,X,12-Dec-2014
6929299,End,11/340/2 SHOWER,11 South,X,12-Dec-2014
6929303,End,11/339/2 SHOWER,11 South,X,12-Dec-2014
6929296,End,11/337/2 SHOWER,11 South,X,12-Dec-2014
6929307,End,11/336/2 SHOWER,11 South,X,12-Dec-2014
6929305,End,11/328/2 SHOWER,11 South,X,12-Dec-2014
6929291,End,11/205 WHB,11 East,X,12-Dec-2014
6929297,End,11/227 SHOWER,11 East,X,12-Dec-2014
