SamplingPeriod,Assets,Locations,Hospitals,Date,Your reference number,Date isolate sent,Date isolate received (QEHB use only),Positive isolate ID (QEHB use only),Freezer box location,Test result,Users
End,8B-8061H,rluh-HDU,Z,15-Dec-2014,8B-8061H,,,,,P.aeruginosa NOT isolated,Z2
End,CBM-RS03,rluh-HDU,Z,15-Dec-2014,CBM-RS03,,,,,P.aeruginosa NOT isolated,Z2
End,CBM-S9D7,rluh-HDU,Z,15-Dec-2014,CBM-S9D7,,,,,P.aeruginosa NOT isolated,Z2
End,CBM-V757,rluh-HDU,Z,15-Dec-2014,CBM-V757,,,,,P.aeruginosa NOT isolated,Z2
End,CBM-TWCLC,rluh-HDU,Z,15-Dec-2014,CBM-TWCLC,,,,,P.aeruginosa NOT isolated,Z2
End,CBM-TWCLH,rluh-HDU,Z,15-Dec-2014,CBM-TWCLH,,,,,P.aeruginosa NOT isolated,Z2
End,CBM-NPPF,rluh-HDU,Z,15-Dec-2014,CBM-NPPF,,,,,P.aeruginosa NOT isolated,Z2
End,CBM-T3BX,rluh-HDU,Z,18-Dec-2014,136365,07-Jan-2015,08-Jan-2015,6929283,7.4,Pseudomonas isolated,Z2
End,CBM-SXW5,rluh-HDU,Z,15-Dec-2014,CBM-SXW5,,,,,P.aeruginosa NOT isolated,Z2
End,8B-8022,rluh-HDU,Z,18-Dec-2014,136363,07-Jan-2015,08-Jan-2015,6929282,7.3,Pseudomonas isolated,Z2
End,12/429 SHOWER,12 West,X,10-Dec-2014,6929292,,,6929292,7.54,P. aeruginosa isolated,X2
Middle,12/431 WHB,12 West,X,28-Oct-2014,6929353,,,6929353,7.53,P. aeruginosa isolated,X2
Beginning,11/252/2 SHOWER,11 South,X,03-Sep-2014,86/45372,,,6929344,7.44,P. aeruginosa isolated,X2
Beginning,12/238/2 SHOWER,12 East,X,03-Sep-2014,86/27470,,,6929343,7.43,P. aeruginosa isolated,X1
Beginning,12/435 WHB,12 West,X,02-Sep-2014,86/38155,,,6929342,7.42,P. aeruginosa isolated,X2
Beginning,12/424 SHOWER,12 West,X,02-Sep-2014,86/32994,,,6929341,7.41,P. aeruginosa isolated,X1
End,04256,CC-D,W,06-Dec-2014,6929352,,,6929352,7.52,P. aeruginosa isolated,W2
End,00391,CC-C,W,06-Dec-2014,6929350,,,6929350,7.50,P. aeruginosa isolated,W2
End,05924,CC-A,W,06-Dec-2014,6929349,,,6929349,7.49,P. aeruginosa isolated,W2
